Postal Code
94129
94129
94129
94129
94124
94124
94124
94123
94120
94120
94118
94117
94117
94115
94115
94115
94114
94114
94114
94114
94114
94112
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94111
94110
94110
94110
94110
94110
94110
94110
94110
94110
94110
94110
94109
94109
94109
94109
94109
94108
94108
94108
94108
94108
94108
94108
94108
94108
94108
94108
94108
94108
94108
94108
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94107
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94105
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94104
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94103
94102
94102
94102
94102
94102
94102
94089
94089
94089
94089
94089
94089
94089
94089
94089
94089
94089
94089
94086
94086
94086
94086
94086
94086
94085
94085
94085
94085
94085
94085
94080
94080
94080
94080
94080
94080
94080
94070
94066
94066
94065
94065
94065
94065
94065
94065
94065
94065
94065
94065
94065
94065
94065
94065
94063
94063
94063
94063
94063
94063
94063
94063
94063
94063
94063
94063
94063
94063
94063
94063
94063
94063
94062
94062
94044
94044
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94043
94042
94041
94041
94041
94041
94041
94041
94041
94041
94041
94041
94041
94041
94041
94041
94040
94040
94040
94040
94040
94040
94040
94035
94035
94028
94028
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94025
94022
94022
94022
94022
94017
94010
94010
94010
94010
94010
94010
94010
94005
94005
94002
93940
93923
93637
93553
93446
93446
93407
93401
93401
93117
93106
93101
93101
93033
93021
93013
93010
93003
93003
93003
92869
92868
92861
92841
92832
92831
92831
92821
92821
92821
92821
92821
92782
92782
92780
92707
92705
92705
92705
92705
92705
92700
92697
92692
92691
92688
92688
92679
92675
92663
92663
92660
92660
92660
92660
92658
92656
92656
92647
92630
92630
92630
92630
92630
92626
92626
92625
92623
92620
92618
92618
92618
92618
92618
92618
92618
92618
92618
92618
92618
92618
92618
92618
92618
92618
92618
92617
92617
92614
92614
92614
92614
92614
92614
92612
92612
92612
92612
92612
92612
92606
92603
92602
92592
92563
92562
92562
92506
92373
92210
92201
92130
92130
92128
92128
92128
92127
92127
92123
92121
92121
92121
92121
92121
92113
92110
92110
92103
92101
92101
92101
92101
92101
92101
92101
92037
92037
92037
92011
92010
92009
92008
92008
92008
91789
91765
91750
91744
91737
91737
91730
91706
91606
91601
91601
91522
91522
91521
91506
91505
91505
91504
91504
91504
91436
91423
91413
91367
91367
91367
91367
91362
91361
91361
91361
91356
91355
91326
91324
91324
91321
91303
91302
91302
91204
91203
91203
91203
91203
91203
91107
91107
91106
91105
91103
91103
91103
91101
91101
91101
91101
91101
91030
91001
90853
90807
90806
90806
90802
90670
90670
90605
90405
90405
90405
90405
90405
90404
90404
90404
90404
90404
90404
90403
90401
90401
90401
90401
90401
90401
90401
90401
90401
90292
90292
90292
90292
90292
90291
90291
90278
90278
90277
90277
90274
90272
90266
90266
90254
90254
90250
90250
90250
90248
90245
90245
90245
90245
90245
90245
90245
90245
90245
90245
90245
90245
90245
90232
90232
90232
90232
90232
90232
90232
90230
90211
90210
90210
90210
90210
90094
90094
90071
90071
90069
90067
90067
90067
90067
90067
90067
90067
90067
90066
90066
90064
90064
90064
90060
90056
90056
90049
90048
90048
90046
90046
90045
90045
90045
90039
90038
90038
90038
90031
90028
90026
90025
90025
90025
90025
90024
90024
90021
90019
90016
90016
90014
90013
90012
90010
89801
89511
89502
89451
89451
89434
89128
89126
89121
89119
89119
89119
89118
89113
89109
89005
88220
88220
87544
87544
87185
87123
87123
87111
87110
87110
85625
85286
85283
85282
85282
85281
85281
85266
85261
85260
85258
85258
85254
85251
85251
85250
85250
85225
85206
85201
85054
85043
85034
85018
85018
85016
85016
85016
85016
85016
85012
85008
85006
85004
84601
84405
84401
84121
84121
84120
84116
84116
84111
84111
84106
84105
84104
84103
84101
84101
84098
84098
84095
84095
84095
84091
84060
84043
84043
84043
84043
84041
84025
84020
84003
83714
83702
83642
83025
82007
81611
81601
81101
80931
80919
80908
80634
80539
80524
80501
80439
80433
80403
80403
80306
80303
80303
80302
80302
80301
80301
80301
80301
80301
80265
80237
80237
80237
80234
80221
80216
80206
80206
80206
80206
80205
80205
80204
80204
80203
80202
80202
80202
80202
80202
80202
80202
80202
80202
80202
80202
80120
80112
80112
80112
80112
80112
80112
80111
80111
80045
80027
80026
80021
80021
80021
80021
80021
80021
80002
79105
78759
78759
78759
78759
78759
78758
78758
78758
78758
78758
78757
78756
78753
78750
78750
78750
78750
78749
78746
78746
78746
78746
78746
78746
78741
78738
78738
78731
78731
78731
78731
78730
78730
78730
78730
78729
78708
78705
78704
78703
78703
78703
78702
78702
78701
78701
78701
78701
78701
78701
78701
78701
78682
78664
78664
78630
78532
78411
78411
78411
78259
78209
78209
78205
78204
77550
77494
77484
77479
77447
77380
77380
77379
77339
77094
77092
77084
77079
77072
77064
77058
77058
77056
77056
77056
77054
77054
77046
77046
77046
77043
77042
77041
77040
77024
77024
77023
77007
77003
77002
77002
77002
77002
76710
76710
76262
76248
76246
76244
76134
76092
76092
76092
76051
75602
75266
75254
75254
75252
75251
75248
75248
75246
75244
75235
75234
75234
75231
75228
75225
75220
75219
75219
75219
75219
75219
75206
75204
75202
75202
75202
75201
75201
75201
75201
75201
75150
75126
75093
75093
75093
75082
75081
75070
75067
75067
75063
75062
75039
75039
75039
75039
75038
75038
75038
75034
75034
75034
75024
75024
75024
75019
75019
75019
75016
75015
75015
75013
75013
75009
75008
75006
75002
75001
75001
75001
74701
74701
74120
74119
74119
74116
74103
74103
74014
73521
73142
73120
73114
73102
73102
73101
73072
73069
73069
73033
72762
72758
72745
72716
72716
72701
72223
72207
72205
72076
72067
71753
71665
70809
70806
70802
70546
70508
70508
70113
70084
70005
70001
69190
68899
68154
68154
68137
68137
68131
68114
68114
68114
68104
68102
67301
67226
66746
66621
66502
66219
66214
66213
66211
65804
65802
65536
65101
64836
64835
64163
64161
64120
64112
64111
64108
64106
64106
64105
63146
63141
63141
63141
63130
63119
63118
63114
63105
63105
63105
63105
63105
63101
63069
63031
63017
63005
62703
61951
61820
61820
61614
61603
61109
61107
61107
61037
61000
60901
60901
60714
60661
60661
60660
60657
60654
60654
60654
60654
60654
60654
60654
60654
60654
60649
60647
60637
60637
60637
60631
60631
60630
60629
60616
60614
60612
60611
60611
60611
60611
60611
60611
60611
60611
60611
60611
60611
60611
60611
60609
60608
60607
60607
60607
60607
60607
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60606
60604
60604
60603
60603
60603
60603
60603
60603
60602
60602
60602
60602
60601
60601
60601
60601
60601
60601
60601
60601
60601
60601
60601
60601
60601
60601
60565
60564
60563
60540
60532
60523
60523
60523
60523
60523
60517
60515
60515
60506
60506
60505
60504
60462
60440
60208
60201
60200
60197
60191
60191
60189
60181
60173
60173
60173
60173
60173
60169
60143
60137
60104
60102
60091
60089
60089
60069
60069
60062
60062
60061
60056
60048
60045
60045
60035
60018
60018
60015
60015
60015
60015
60008
60002
59790
59414
59102
59101
58361
58078
57401
57108
56082
56007
55904
55474
55441
55437
55435
55435
55432
55430
55430
55425
55423
55422
55419
55416
55416
55416
55416
55415
55414
55414
55413
55413
55403
55403
55402
55402
55401
55401
55401
55401
55401
55378
55347
55344
55344
55343
55317
55316
55305
55125
55125
55120
55114
55112
55108
55102
55077
55024
54935
54901
54601
54311
54155
53719
53717
53714
53711
53704
53703
53703
53226
53224
53222
53212
53212
53209
53203
53202
53202
53202
53201
53201
53188
53177
53158
53082
53066
53066
53045
53024
53022
53008
53005
53005
52804
52407
52245
52001
51373
50704
50309
50309
50309
50266
50216
49735
49727
49424
49345
49002
48951
48824
48641
48377
48336
48335
48334
48334
48302
48265
48236
48226
48226
48226
48170
48135
48126
48116
48109
48105
48085
48084
48084
48084
48084
48084
48075
48060
48009
47907
47630
47421
47403
47203
47202
47201
47006
46802
46802
46706
46628
46410
46278
46278
46268
46268
46240
46237
46235
46214
46204
46204
46135
46038
46037
46037
46032
45840
45840
45840
45810
45459
45409
45359
45342
45324
45249
45248
45245
45229
45221
45219
45215
45202
45202
45202
45202
45014
44720
44503
44333
44316
44309
44308
44286
44236
44236
44145
44143
44143
44139
44131
44131
44122
44122
44122
44122
44122
44115
44108
44060
44024
44023
43604
43537
43351
43235
43235
43230
43230
43228
43221
43215
43215
43213
43212
43201
43082
43081
43081
43065
43055
43017
43016
42276
42104
42101
41051
40701
40505
40391
40299
40269
40245
40245
40222
40219
40218
40213
40202
39567
39232
38485
38197
38133
38125
38120
38119
38119
38119
38116
38106
38103
38103
38018
38006
37996
37932
37923
37922
37919
37919
37909
37762
37743
37660
37450
37411
37406
37405
37402
37402
37402
37402
37402
37402
37402
37243
37240
37234
37232
37219
37219
37219
37219
37219
37219
37219
37219
37219
37219
37219
37217
37217
37217
37217
37215
37215
37215
37215
37215
37215
37215
37215
37215
37215
37215
37215
37215
37215
37214
37214
37212
37212
37212
37212
37212
37212
37212
37212
37212
37212
37211
37211
37211
37211
37211
37211
37211
37211
37210
37210
37210
37210
37209
37209
37209
37209
37209
37209
37208
37208
37208
37208
37208
37207
37207
37206
37206
37206
37206
37206
37205
37205
37205
37205
37205
37204
37204
37204
37204
37204
37204
37204
37204
37204
37204
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37203
37201
37201
37201
37201
37201
37201
37201
37201
37201
37172
37133
37132
37129
37087
37086
37086
37075
37072
37072
37068
37068
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37067
37064
37064
37064
37064
37064
37064
37064
37064
37064
37051
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37027
37013
36561
36502
36111
35806
35806
35806
35806
35806
35805
35805
35804
35802
35630
35546
35401
35244
35242
35242
35233
35223
35209
35209
35205
35203
35203
35203
35124
34237
34219
34210
34205
34104
33811
33805
33763
33762
33760
33756
33716
33702
33702
33702
33631
33620
33618
33611
33610
33607
33606
33605
33605
33602
33569
33558
33432
33432
33418
33411
33409
33401
33401
33401
33334
33334
33326
33323
33323
33309
33309
33309
33309
33180
33178
33178
33176
33172
33172
33169
33160
33160
33137
33136
33135
33134
33134
33133
33131
33131
33131
33131
33129
33075
33073
33069
33069
33027
33025
33025
33021
33004
32963
32920
32919
32901
32830
32819
32819
32819
32814
32804
32804
32801
32789
32789
32771
32771
32768
32765
32751
32751
32746
32746
32714
32611
32603
32566
32504
32501
32406
32405
32404
32401
32306
32305
32301
32266
32256
32256
32225
32221
32207
32202
32178
32114
32095
32084
32082
31901
31793
31719
31719
31032
30350
30350
30348
30346
30346
30342
30339
30339
30339
30339
30339
30339
30338
30334
30328
30328
30328
30328
30328
30328
30328
30326
30326
30326
30326
30326
30319
30319
30319
30318
30318
30315
30313
30313
30312
30312
30309
30309
30309
30309
30309
30309
30309
30309
30309
30308
30307
30306
30305
30305
30305
30305
30303
30295
30281
30265
30253
30224
30144
30144
30122
30115
30099
30097
30097
30097
30096
30092
30084
30080
30080
30076
30076
30075
30071
30071
30068
30067
30067
30067
30067
30043
30041
30030
30024
30024
30022
30022
30022
30009
30009
30009
30005
29928
29696
29650
29607
29526
29492
29492
29464
29461
29401
29202
29202
29073
29016
28778
28643
28405
28374
28280
28277
28277
28277
28277
28277
28277
28255
28217
28211
28206
28203
28202
28202
28202
28202
28201
28117
28117
28117
28078
28050
28036
28036
27834
27713
27713
27707
27701
27615
27611
27601
27601
27601
27601
27599
27588
27574
27560
27560
27560
27518
27518
27517
27513
27502
27410
27408
27407
24504
24504
24501
24501
24151
24060
23944
23607
23513
23510
23502
23454
23320
23238
23236
23230
23230
23218
23060
22980
22902
22630
22601
22581
22581
22556
22554
22314
22312
22312
22311
22309
22304
22304
22211
22209
22209
22206
22203
22203
22202
22202
22202
22202
22202
22202
22201
22201
22201
22201
22201
22182
22182
22182
22180
22107
22102
22102
22102
22102
22102
22102
22102
22102
22102
22102
22102
22102
22102
22102
22102
22102
22102
22101
22043
22042
22042
22042
22042
22042
22039
22033
22033
22033
22033
22033
22031
22030
22030
21727
21703
21286
21231
21231
21230
21230
21228
21204
21202
21202
21202
21202
21201
21201
21201
21152
21117
21104
21093
21093
21090
21090
21076
21075
21046
21046
21046
21044
21044
21042
21031
21030
21030
21030
21030
21029
21017
20910
20878
20878
20878
20878
20877
20877
20876
20855
20852
20852
20850
20850
20850
20850
20817
20817
20817
20814
20814
20814
20814
20814
20814
20782
20774
20723
20707
20705
20619
20619
20528
20528
20520
20420
20416
20191
20191
20191
20191
20191
20191
20191
20191
20191
20190
20190
20190
20190
20190
20190
20190
20190
20190
20190
20190
20190
20176
20175
20171
20171
20171
20170
20170
20170
20170
20170
20170
20166
20166
20166
20166
20165
20151
20151
20151
20151
20151
20151
20151
20151
20147
20147
20147
20120
20120
20110
20071
20057
20037
20037
20037
20037
20036
20036
20036
20036
20036
20036
20036
20024
20017
20017
20016
20009
20008
20007
20007
20006
20006
20005
20005
20005
20005
20005
20005
20004
20004
20004
20003
20003
20003
20003
20003
20002
20001
20001
20001
20001
19904
19886
19850
19807
19713
19702
19702
19602
19512
19482
19462
19422
19403
19403
19403
19403
19401
19380
19380
19355
19341
19341
19312
19145
19140
19130
19121
19112
19107
19107
19106
19106
19104
19104
19104
19104
19103
19103
19103
19103
19103
19103
19103
19103
19102
19087
19087
19087
19087
19087
19087
19087
19087
19087
19085
19067
19047
19044
19044
19044
19034
19025
19016
19002
18976
18974
18914
18701
18452
18431
18106
18064
18018
18017
18017
18017
18015
18015
18001
17603
17601
17601
17110
17055
17011
16803
16510
16066
15904
15679
15522
15444
15317
15275
15251
15222
15222
15222
15219
15213
15213
15212
15206
15206
15044
14901
14853
14627
14625
14623
14623
14604
14564
14551
14502
14450
14221
14214
14202
13601
13601
13330
13202
13126
12866
12444
12345
12345
12210
12205
12204
12203
12180
12180
12110
12073
12059
11973
11827
11797
11797
11794
11747
11747
11747
11741
11735
11725
11716
11645
11560
11249
11249
11237
11232
11232
11215
11212
11205
11201
11201
11201
11201
11201
11201
11101
11042
11021
10940
10918
10916
10913
10703
10605
10604
10580
10577
10577
10577
10577
10562
10538
10526
10514
10504
10504
10504
10460
10458
10455
10454
10439
10405
10285
10282
10281
10281
10271
10178
10177
10174
10170
10169
10169
10168
10167
10167
10166
10166
10158
10154
10153
10152
10151
10128
10121
10120
10119
10119
10115
10112
10112
10112
10111
10111
10111
10106
10105
10105
10104
10075
10065
10055
10044
10041
10041
10041
10038
10038
10038
10038
10038
10038
10036
10036
10036
10036
10036
10036
10036
10036
10036
10036
10036
10036
10036
10036
10036
10036
10029
10028
10025
10024
10023
10023
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10022
10020
10020
10020
10020
10020
10019
10019
10019
10019
10019
10019
10019
10019
10019
10019
10019
10019
10019
10019
10019
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10018
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10017
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10016
10014
10014
10014
10014
10014
10014
10014
10014
10014
10014
10014
10014
10014
10014
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10013
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10012
10011
10011
10011
10011
10011
10011
10011
10011
10011
10011
10011
10011
10011
10011
10011
10011
10011
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10010
10007
10007
10007
10007
10007
10007
10006
10006
10006
10006
10005
10005
10005
10005
10005
10005
10005
10005
10005
10004
10004
10004
10004
10004
10004
10004
10004
10004
10004
10004
10004
10004
10004
10003
10003
10003
10003
10003
10003
10003
10003
10002
10002
10002
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10001
10000
10000
10000
10000
10000
10000
10000
9051
8933
8933
8901
8873
8873
8844
8837
8831
8830
8822
8822
8816
8816
8816
8816
8807
8753
8648
8550
8540
8540
8540
8540
8540
8540
8534
8520
8512
8103
8103
8102
8043
7960
7950
7932
7932
7932
7921
7920
7920
7901
7901
7866
7733
7733
7728
7727
7727
7724
7701
7701
7666
7652
7645
7640
7632
7631
7601
7500
7452
7446
7446
7441
7430
7430
7417
7310
7302
7102
7102
7101
7095
7094
7094
7092
7083
7078
7068
7068
7055
7054
7054
7042
7033
7033
7030
7030
7030
7024
7012
6902
6902
6902
6901
6901
6901
6901
6901
6901
6897
6897
6897
6897
6880
6880
6854
6854
6851
6851
6851
6840
6831
6831
6831
6830
6830
6830
6830
6830
6828
6820
6611
6604
6520
6520
6484
6484
6437
6340
6260
6156
6155
6095
6095
6067
6032
6011
6010
6002
6002
6000
5759
5403
5028
5001
4401
4101
4101
4092
4092
4051
4006
4001
3909
3901
3885
3824
3801
3801
3771
3766
3755
3743
3431
3301
3301
3196
3110
3064
3062
3000
3000
2940
2919
2904
2903
2903
2903
2903
2903
2903
2895
2880
2861
2842
2719
2540
2494
2494
2494
2492
2481
2472
2465
2457
2453
2451
2451
2451
2451
2451
2451
2451
2421
2370
2340
2232
2215
2215
2215
2210
2210
2210
2210
2210
2210
2210
2210
2210
2210
2210
2210
2199
2199
2199
2199
2190
2169
2163
2163
2163
2155
2144
2142
2142
2142
2142
2142
2141
2141
2141
2140
2140
2140
2140
2140
2139
2139
2139
2139
2139
2138
2138
2135
2134
2130
2130
2127
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2116
2114
2114
2113
2111
2111
2111
2111
2111
2110
2110
2110
2110
2110
2110
2110
2110
2110
2110
2110
2110
2110
2110
2109
2109
2109
2109
2109
2108
2108
2108
2108
2108
2108
2102
2076
2072
2067
2067
2067
2021
2021
2010
2001
2000
2000
2000
2000
2000
1969
1960
1923
1913
1887
1880
1864
1845
1810
1810
1803
1803
1803
1801
1801
1754
1752
1748
1742
1730
1730
1730
1701
1701
1701
1602
1462
1407
1301
1260
1205
1144
1122
1112
1111
1056
1030
1011
1003
917
281
180
180
101
100
